               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029699,           0.0057409,           0.0059181,             0.88754,             0.84947,             0.91648,             0.74778,            0.024756,           0.0030201,           0.0058998,             0.13265,          0.00098281,          0.00098281
                   1,            0.023044,           0.0055844,           0.0059727,             0.83133,             0.84623,             0.91227,             0.71559,            0.020752,           0.0031708,           0.0067327,            0.078506,           0.0019528,           0.0019528
                   2,            0.020185,           0.0053508,           0.0054435,             0.89549,             0.86358,              0.8995,              0.7062,            0.016851,           0.0030888,           0.0061004,            0.024341,           0.0029061,           0.0029061
                   3,            0.017169,           0.0056335,            0.005357,             0.89443,             0.85478,              0.8981,              0.7302,            0.013939,           0.0032349,           0.0064401,            0.003255,            0.003255,            0.003255
                   4,            0.015151,           0.0059098,           0.0053533,             0.89543,             0.86567,             0.91576,             0.69856,            0.013517,            0.003347,           0.0059888,            0.003255,            0.003255,            0.003255
                   5,             0.01376,            0.006058,           0.0053396,             0.89292,              0.8442,             0.88984,             0.71178,            0.011569,           0.0033273,            0.005994,           0.0032266,           0.0032266,           0.0032266
                   6,            0.011804,           0.0061419,           0.0051815,              0.8834,             0.86109,             0.92363,             0.73336,            0.010207,           0.0033555,           0.0054703,           0.0031983,           0.0031983,           0.0031983
                   7,             0.01014,           0.0061227,           0.0046996,             0.90908,             0.86937,             0.93331,             0.70607,            0.010046,           0.0034081,           0.0054204,           0.0031699,           0.0031699,           0.0031699
                   8,           0.0094223,           0.0062826,           0.0053653,             0.85879,             0.90218,             0.93855,             0.75211,           0.0093896,            0.003235,           0.0052632,           0.0031416,           0.0031416,           0.0031416
                   9,           0.0090672,           0.0064564,            0.004899,             0.89399,             0.87592,             0.93754,             0.76291,           0.0080249,           0.0032376,            0.005258,           0.0031132,           0.0031132,           0.0031132
                  10,           0.0084127,           0.0060229,           0.0045879,                0.88,             0.87978,             0.93168,             0.74057,           0.0088077,           0.0031018,           0.0054222,           0.0030849,           0.0030849,           0.0030849
                  11,           0.0081749,           0.0061556,           0.0048648,             0.91589,             0.87883,             0.94736,             0.75581,           0.0085605,           0.0031192,           0.0048777,           0.0030566,           0.0030566,           0.0030566
                  12,           0.0079226,           0.0060416,           0.0045969,              0.8931,             0.89291,             0.93956,             0.76175,           0.0085794,           0.0030427,           0.0052289,           0.0030282,           0.0030282,           0.0030282
                  13,            0.007755,           0.0060285,           0.0048204,             0.87901,             0.89031,              0.9356,             0.71328,           0.0089435,           0.0030211,           0.0053535,           0.0029999,           0.0029999,           0.0029999
                  14,           0.0074733,           0.0060091,           0.0045949,             0.88777,             0.89661,             0.93593,              0.7133,           0.0089556,           0.0029869,           0.0051644,           0.0029715,           0.0029715,           0.0029715
                  15,           0.0073016,           0.0057746,           0.0042794,             0.90728,             0.88061,             0.93883,             0.73909,           0.0080638,           0.0029711,           0.0049176,           0.0029432,           0.0029432,           0.0029432
                  16,           0.0073078,           0.0056541,           0.0041679,             0.90567,             0.89556,             0.93987,             0.74262,           0.0085283,           0.0029502,           0.0049342,           0.0029148,           0.0029148,           0.0029148
                  17,           0.0072568,           0.0058467,           0.0045054,             0.86117,             0.89741,             0.93449,             0.72174,           0.0093934,           0.0030163,           0.0052929,           0.0028865,           0.0028865,           0.0028865
                  18,           0.0072698,           0.0057968,           0.0044212,             0.89868,             0.88423,             0.93981,             0.76185,           0.0077551,           0.0028983,           0.0052644,           0.0028581,           0.0028581,           0.0028581
                  19,           0.0071459,           0.0058101,           0.0043579,             0.89369,             0.88091,             0.92699,             0.73151,           0.0079883,           0.0029267,           0.0051919,           0.0028298,           0.0028298,           0.0028298
                  20,           0.0069711,           0.0058346,           0.0042686,             0.88974,              0.8805,             0.93708,             0.75244,           0.0077478,           0.0028459,           0.0050779,           0.0028014,           0.0028014,           0.0028014
                  21,           0.0069042,           0.0057791,           0.0040614,             0.88925,             0.89417,             0.93187,             0.73165,           0.0084713,           0.0028378,           0.0050966,           0.0027731,           0.0027731,           0.0027731
                  22,           0.0070546,           0.0057071,           0.0042658,             0.87664,             0.88506,             0.92316,             0.72984,           0.0087956,           0.0028457,            0.005386,           0.0027448,           0.0027448,           0.0027448
                  23,            0.006732,           0.0055731,           0.0038706,             0.88825,             0.89262,             0.93445,             0.76376,           0.0073697,           0.0028187,           0.0048835,           0.0027164,           0.0027164,           0.0027164
                  24,           0.0068423,            0.005451,           0.0039157,             0.88981,             0.89596,             0.93194,             0.73045,           0.0079178,           0.0028215,           0.0049762,           0.0026881,           0.0026881,           0.0026881
                  25,           0.0067085,           0.0056683,           0.0040366,             0.91834,             0.89331,             0.93845,             0.72734,           0.0085338,           0.0028164,            0.004567,           0.0026597,           0.0026597,           0.0026597
                  26,           0.0067571,           0.0056081,           0.0036905,             0.89359,             0.90235,             0.93732,             0.72908,           0.0084967,           0.0028305,           0.0048145,           0.0026314,           0.0026314,           0.0026314
                  27,           0.0066439,           0.0055503,           0.0037736,             0.88481,             0.89966,             0.94049,             0.76012,           0.0083535,           0.0028357,           0.0049821,            0.002603,            0.002603,            0.002603
                  28,           0.0066458,           0.0056198,           0.0038994,             0.88054,             0.88046,             0.93365,              0.7319,           0.0079145,           0.0028925,           0.0047946,           0.0025747,           0.0025747,           0.0025747
                  29,           0.0065835,            0.005571,           0.0037487,             0.87541,             0.89804,             0.93296,             0.75573,            0.007682,            0.002808,           0.0050357,           0.0025463,           0.0025463,           0.0025463
                  30,           0.0064308,           0.0055464,            0.003928,             0.89181,             0.88159,             0.93265,             0.73957,           0.0079251,           0.0027752,           0.0050777,            0.002518,            0.002518,            0.002518
                  31,           0.0063433,            0.005341,           0.0035662,             0.90929,             0.87725,             0.93109,             0.76346,           0.0073653,           0.0028187,           0.0046697,           0.0024897,           0.0024897,           0.0024897
                  32,           0.0065262,           0.0055768,           0.0037683,             0.92255,             0.89035,             0.93844,             0.75028,           0.0074705,           0.0027883,           0.0046558,           0.0024613,           0.0024613,           0.0024613
                  33,           0.0062226,           0.0055232,           0.0036594,             0.90668,             0.89587,             0.94021,             0.75184,           0.0078014,           0.0027264,           0.0046766,            0.002433,            0.002433,            0.002433
                  34,           0.0063483,           0.0053156,           0.0034647,              0.9064,             0.89838,             0.93168,             0.70298,           0.0087342,           0.0027939,           0.0046367,           0.0024046,           0.0024046,           0.0024046
                  35,           0.0063941,            0.005602,            0.003527,             0.89276,             0.89723,             0.92357,             0.74088,           0.0079347,           0.0027482,           0.0046263,           0.0023763,           0.0023763,           0.0023763
                  36,           0.0064161,           0.0053605,           0.0035774,             0.91081,             0.89236,             0.93561,              0.7325,           0.0081095,           0.0027865,           0.0044735,           0.0023479,           0.0023479,           0.0023479
                  37,           0.0062754,            0.005329,           0.0035494,             0.90491,             0.88046,             0.93148,             0.73618,           0.0076472,           0.0027861,           0.0046837,           0.0023196,           0.0023196,           0.0023196
                  38,             0.00624,           0.0054863,           0.0036243,             0.89589,             0.90737,             0.94128,             0.75457,           0.0073779,            0.002753,           0.0044107,           0.0022912,           0.0022912,           0.0022912
                  39,           0.0061179,           0.0054535,             0.00349,             0.90829,             0.90924,             0.93989,              0.7509,           0.0078226,           0.0027406,           0.0042757,           0.0022629,           0.0022629,           0.0022629
                  40,           0.0064614,            0.005391,           0.0036174,             0.91081,             0.91126,             0.94479,             0.75103,           0.0076881,           0.0027736,           0.0042764,           0.0022345,           0.0022345,           0.0022345
                  41,           0.0061208,           0.0053238,           0.0035008,             0.90631,             0.90601,             0.93532,             0.76581,           0.0078289,           0.0027107,           0.0043455,           0.0022062,           0.0022062,           0.0022062
                  42,           0.0059422,           0.0053619,           0.0032812,             0.90339,             0.89939,              0.9391,             0.75109,           0.0076245,           0.0027651,            0.004795,           0.0021779,           0.0021779,           0.0021779
                  43,           0.0060413,           0.0053059,            0.003489,             0.90012,             0.89957,              0.9407,             0.75997,           0.0073117,           0.0027668,           0.0047198,           0.0021495,           0.0021495,           0.0021495
                  44,           0.0060312,           0.0052267,           0.0032789,             0.90322,              0.8942,             0.94239,              0.7713,           0.0070954,             0.00275,           0.0048677,           0.0021212,           0.0021212,           0.0021212
                  45,           0.0059872,           0.0053043,           0.0032714,             0.90097,             0.88496,             0.94384,             0.76137,           0.0076234,           0.0027107,            0.004528,           0.0020928,           0.0020928,           0.0020928
                  46,           0.0059575,           0.0054287,           0.0031674,             0.90978,             0.88455,             0.93732,             0.74927,           0.0073183,           0.0027358,           0.0044294,           0.0020645,           0.0020645,           0.0020645
                  47,             0.00611,           0.0054836,           0.0035887,             0.91608,             0.89731,             0.94166,              0.7425,           0.0079257,           0.0027022,           0.0039233,           0.0020361,           0.0020361,           0.0020361
                  48,           0.0059063,           0.0052073,           0.0031986,             0.90853,             0.89534,             0.94727,             0.76455,            0.007314,           0.0027057,           0.0040855,           0.0020078,           0.0020078,           0.0020078
                  49,             0.00595,           0.0054549,           0.0034968,             0.91685,             0.90519,              0.9423,              0.7618,           0.0074918,           0.0027179,           0.0041427,           0.0019794,           0.0019794,           0.0019794
                  50,           0.0059465,           0.0050994,           0.0032389,             0.89636,             0.87958,             0.93332,             0.74412,           0.0078837,           0.0026826,           0.0043868,           0.0019511,           0.0019511,           0.0019511
                  51,           0.0060634,           0.0053018,           0.0033335,             0.88735,             0.89209,             0.94368,             0.74889,           0.0078336,           0.0027341,           0.0042938,           0.0019228,           0.0019228,           0.0019228
                  52,           0.0058912,           0.0051973,            0.003156,             0.90135,              0.8893,             0.93712,              0.7579,           0.0070191,           0.0027541,           0.0044146,           0.0018944,           0.0018944,           0.0018944
                  53,           0.0058783,           0.0053278,           0.0032164,             0.89021,              0.8963,             0.94035,             0.77128,            0.006947,           0.0026984,           0.0043966,           0.0018661,           0.0018661,           0.0018661
                  54,           0.0057166,           0.0052011,            0.003174,             0.87745,             0.90073,             0.92765,             0.73191,           0.0078349,           0.0026917,           0.0043778,           0.0018377,           0.0018377,           0.0018377
                  55,           0.0059263,           0.0052209,           0.0034141,             0.89285,             0.89989,             0.93902,             0.75512,           0.0078761,           0.0027192,           0.0043035,           0.0018094,           0.0018094,           0.0018094
                  56,           0.0057434,           0.0053032,           0.0030371,             0.88469,             0.89265,             0.93941,             0.74727,           0.0075458,           0.0027132,           0.0042949,            0.001781,            0.001781,            0.001781
                  57,           0.0057898,           0.0051954,           0.0030849,             0.88211,             0.90331,             0.94011,             0.73602,           0.0077415,           0.0026767,           0.0044506,           0.0017527,           0.0017527,           0.0017527
                  58,           0.0057252,           0.0051981,            0.003164,             0.89741,             0.89109,               0.937,             0.76453,           0.0069787,           0.0026487,           0.0041954,           0.0017243,           0.0017243,           0.0017243
                  59,           0.0056014,           0.0052442,           0.0031352,             0.87966,             0.89545,             0.93485,             0.74137,           0.0074349,            0.002707,           0.0046522,            0.001696,            0.001696,            0.001696
                  60,           0.0056498,           0.0052337,           0.0028499,             0.89472,             0.89684,             0.94626,             0.74814,           0.0076165,           0.0026999,           0.0042638,           0.0016677,           0.0016677,           0.0016677
                  61,           0.0057104,           0.0051265,           0.0030848,             0.88584,             0.90159,             0.94176,             0.77291,           0.0072191,           0.0026654,           0.0041218,           0.0016393,           0.0016393,           0.0016393
                  62,             0.00569,           0.0052786,           0.0030252,             0.90877,             0.88244,             0.93922,             0.75439,           0.0075699,           0.0027217,           0.0042763,            0.001611,            0.001611,            0.001611
                  63,           0.0055035,           0.0050433,           0.0031277,             0.89498,             0.89617,             0.93899,              0.7554,           0.0073208,           0.0027394,           0.0042337,           0.0015826,           0.0015826,           0.0015826
                  64,           0.0055494,            0.005234,           0.0030111,             0.89583,             0.88075,             0.93359,              0.7459,           0.0074008,           0.0027158,           0.0044924,           0.0015543,           0.0015543,           0.0015543
                  65,           0.0056471,           0.0052863,            0.003001,             0.88989,             0.89839,             0.94561,             0.75332,            0.007513,           0.0027227,           0.0044033,           0.0015259,           0.0015259,           0.0015259
                  66,           0.0054338,           0.0050204,           0.0027527,             0.89527,             0.89571,             0.94534,             0.75584,           0.0073626,           0.0026771,           0.0042051,           0.0014976,           0.0014976,           0.0014976
                  67,           0.0055336,             0.00506,           0.0028607,                0.89,             0.89599,             0.94844,             0.76571,            0.007289,           0.0026546,           0.0042677,           0.0014692,           0.0014692,           0.0014692
                  68,           0.0055146,           0.0051765,           0.0030862,             0.89924,              0.8854,             0.94229,             0.77317,           0.0072099,           0.0026382,           0.0044559,           0.0014409,           0.0014409,           0.0014409
                  69,            0.005651,           0.0052663,           0.0029626,             0.87911,             0.88753,             0.94241,              0.7552,           0.0073857,           0.0026907,           0.0045691,           0.0014125,           0.0014125,           0.0014125
                  70,           0.0056216,           0.0053223,           0.0030865,              0.9127,             0.87553,             0.95392,             0.77487,           0.0073573,           0.0026676,           0.0041984,           0.0013842,           0.0013842,           0.0013842
                  71,           0.0055197,           0.0053075,           0.0029644,             0.89644,             0.87348,             0.93079,             0.74907,           0.0072633,           0.0026849,           0.0042671,           0.0013559,           0.0013559,           0.0013559
                  72,           0.0054576,            0.005166,           0.0028753,             0.88396,             0.88437,             0.92029,             0.74571,           0.0072654,           0.0026659,           0.0046085,           0.0013275,           0.0013275,           0.0013275
                  73,           0.0054766,           0.0051121,           0.0028317,             0.89592,             0.88011,             0.94072,             0.75582,           0.0073288,           0.0026847,           0.0044386,           0.0012992,           0.0012992,           0.0012992
                  74,           0.0053825,            0.005101,           0.0028235,             0.88686,             0.88732,             0.92106,             0.73499,           0.0074591,           0.0026651,           0.0042181,           0.0012708,           0.0012708,           0.0012708
                  75,           0.0054412,           0.0052174,           0.0030838,             0.90098,               0.897,             0.94168,             0.75974,           0.0073821,           0.0026444,           0.0044992,           0.0012425,           0.0012425,           0.0012425
                  76,           0.0054738,           0.0052947,           0.0030107,             0.88833,             0.89389,             0.92588,             0.74968,           0.0071039,           0.0026402,           0.0044356,           0.0012141,           0.0012141,           0.0012141
                  77,           0.0053059,           0.0051442,           0.0027772,             0.88664,             0.89367,             0.93228,             0.74615,           0.0073052,           0.0026713,           0.0044289,           0.0011858,           0.0011858,           0.0011858
                  78,           0.0054179,           0.0052224,           0.0029162,             0.89048,             0.88915,             0.94735,             0.75549,            0.007559,           0.0026615,           0.0043632,           0.0011574,           0.0011574,           0.0011574
                  79,           0.0053331,             0.00501,           0.0029291,             0.88145,             0.89618,             0.92705,             0.73449,           0.0074422,            0.002655,           0.0042502,           0.0011291,           0.0011291,           0.0011291
                  80,           0.0053026,           0.0049818,           0.0027782,             0.88941,             0.89664,             0.92441,             0.74366,           0.0070291,           0.0026435,           0.0041629,           0.0011008,           0.0011008,           0.0011008
                  81,           0.0052658,           0.0049446,           0.0027534,             0.88215,             0.90095,             0.92721,             0.73758,            0.007452,           0.0026807,           0.0040928,           0.0010724,           0.0010724,           0.0010724
                  82,           0.0053391,           0.0050273,           0.0027669,             0.89194,             0.88985,             0.94558,             0.75002,           0.0076187,           0.0026482,           0.0041627,           0.0010441,           0.0010441,           0.0010441
                  83,           0.0052555,           0.0051193,           0.0027238,             0.88664,             0.89412,             0.94745,             0.77404,           0.0069851,           0.0026428,           0.0041014,           0.0010157,           0.0010157,           0.0010157
                  84,            0.005278,           0.0049945,           0.0028065,             0.89806,             0.90585,             0.94344,             0.76565,           0.0072225,           0.0026322,           0.0042308,          0.00098737,          0.00098737,          0.00098737
                  85,           0.0052351,           0.0049503,            0.002724,              0.8953,              0.8877,              0.9488,             0.75824,           0.0073139,           0.0026573,           0.0040069,          0.00095903,          0.00095903,          0.00095903
                  86,           0.0053348,           0.0051638,           0.0027749,             0.88797,             0.89664,             0.92931,             0.74631,           0.0073322,            0.002642,           0.0040493,          0.00093068,          0.00093068,          0.00093068
                  87,           0.0053213,           0.0052216,           0.0028419,             0.89489,             0.88821,             0.92579,             0.75269,           0.0071206,           0.0026458,           0.0041108,          0.00090234,          0.00090234,          0.00090234
                  88,           0.0052754,           0.0052024,           0.0028362,             0.89825,             0.88257,             0.94893,             0.76677,           0.0072475,           0.0026647,           0.0039666,          0.00087399,          0.00087399,          0.00087399
                  89,           0.0052187,           0.0051378,           0.0026379,             0.88633,             0.88684,             0.94721,             0.77519,           0.0070599,           0.0026332,           0.0042273,          0.00084565,          0.00084565,          0.00084565
                  90,           0.0053217,           0.0052527,            0.003015,             0.88145,             0.89362,             0.93107,             0.74546,           0.0073175,           0.0026357,           0.0041892,           0.0008173,           0.0008173,           0.0008173
                  91,           0.0053069,            0.005043,             0.00276,             0.89695,             0.89633,             0.92794,             0.74719,           0.0071702,           0.0026302,           0.0041094,          0.00078896,          0.00078896,          0.00078896
                  92,           0.0052961,           0.0052787,           0.0028652,             0.89268,             0.88409,             0.92732,             0.74648,            0.007028,           0.0026352,           0.0042189,          0.00076061,          0.00076061,          0.00076061
                  93,           0.0052917,           0.0050914,           0.0028246,             0.88086,             0.88771,             0.93053,             0.75241,           0.0070361,           0.0026302,           0.0041705,          0.00073227,          0.00073227,          0.00073227
                  94,           0.0052324,           0.0050763,           0.0028136,             0.88466,             0.89194,             0.92863,             0.74102,           0.0073496,           0.0026381,           0.0042585,          0.00070392,          0.00070392,          0.00070392
                  95,           0.0051949,            0.005082,           0.0027231,             0.88294,             0.90017,             0.92917,             0.75592,           0.0070069,           0.0026382,           0.0040936,          0.00067558,          0.00067558,          0.00067558
                  96,           0.0050757,            0.004959,            0.002635,              0.8917,             0.89332,             0.92985,               0.749,           0.0071201,           0.0026403,           0.0040526,          0.00064723,          0.00064723,          0.00064723
                  97,           0.0051779,           0.0048964,           0.0025098,             0.88568,             0.88687,             0.93071,             0.74894,           0.0072221,           0.0026426,           0.0039976,          0.00061889,          0.00061889,          0.00061889
                  98,            0.005126,           0.0050446,           0.0026781,             0.88231,              0.8955,             0.93062,             0.74367,           0.0074074,           0.0026361,           0.0041367,          0.00059054,          0.00059054,          0.00059054
                  99,           0.0051248,           0.0050119,            0.002643,             0.89126,             0.88965,              0.9273,             0.75087,           0.0072246,           0.0026093,           0.0040021,           0.0005622,           0.0005622,           0.0005622
